"Column","Row","Cell Nuclei / mm^2","Evaluated Area [mm^2]","Estimated Total Cell Count","Total Granule Count","Cell Nucleus","Contrast","Size [um^2]","Intensity","Roughness","Granularity","Granule Intensity","Granule Count","Longishness","Compactness"
5,B,4.433893e+001,1.369000e+001,8.230000e+002,2.325000e+003,607,2.400367e-001,2.531458e+002,1.193379e+002,3.488880e+001,7.939644e-001,1.451977e+002,3.830313e+000,1.360293e+000,7.496895e-001
5,C,4.346238e+001,1.369000e+001,7.610000e+002,2.259000e+003,595,2.453044e-001,2.382335e+002,1.184275e+002,3.600506e+001,8.313509e-001,1.441444e+002,3.796639e+000,1.359336e+000,7.562152e-001
5,D,4.411980e+001,1.369000e+001,7.760000e+002,2.258000e+003,604,2.332376e-001,2.416715e+002,1.184331e+002,3.399330e+001,8.072961e-001,1.437982e+002,3.738411e+000,1.359229e+000,7.590947e-001
6,B,3.637692e+001,1.369000e+001,5.980000e+002,1.966000e+003,498,2.344166e-001,2.472182e+002,1.168754e+002,3.275721e+001,8.379421e-001,1.410168e+002,3.947791e+000,1.359075e+000,7.619532e-001
6,C,4.470416e+001,1.369000e+001,7.430000e+002,2.404000e+003,612,2.392552e-001,2.343277e+002,1.182554e+002,3.356987e+001,8.739811e-001,1.421938e+002,3.928105e+000,1.329574e+000,7.754345e-001
6,D,4.075968e+001,1.369000e+001,7.120000e+002,2.153000e+003,558,2.364542e-001,2.327162e+002,1.198225e+002,3.361243e+001,8.592915e-001,1.442507e+002,3.858423e+000,1.347070e+000,7.686801e-001
7,B,9.744339e+001,1.369000e+001,1.566000e+003,7.949000e+003,1334,2.446293e-001,3.434455e+002,1.238693e+002,3.068980e+001,9.166786e-001,1.474287e+002,5.958771e+000,1.463584e+000,7.414167e-001
7,C,9.605551e+001,1.369000e+001,1.519000e+003,7.709000e+003,1315,2.465474e-001,3.329271e+002,1.248333e+002,3.142321e+001,9.269478e-001,1.484949e+002,5.862357e+000,1.468537e+000,7.422389e-001
7,D,9.861213e+001,1.369000e+001,1.562000e+003,7.927000e+003,1350,2.512152e-001,3.215638e+002,1.268196e+002,3.314103e+001,9.647128e-001,1.508626e+002,5.871852e+000,1.466112e+000,7.382573e-001
8,B,9.415632e+001,1.369000e+001,1.600000e+003,7.414000e+003,1289,2.416373e-001,3.530390e+002,1.212761e+002,2.831178e+001,8.549094e-001,1.449376e+002,5.751746e+000,1.445178e+000,7.495805e-001
8,C,1.018262e+002,1.369000e+001,1.644000e+003,8.101000e+003,1394,2.405778e-001,3.415607e+002,1.233850e+002,2.893484e+001,8.947510e-001,1.461761e+002,5.811334e+000,1.455214e+000,7.505191e-001
8,D,1.010957e+002,1.369000e+001,1.635000e+003,8.131000e+003,1384,2.451649e-001,3.345987e+002,1.258544e+002,2.995019e+001,9.253980e-001,1.491648e+002,5.875000e+000,1.454749e+000,7.506464e-001
9,B,1.009496e+002,1.369000e+001,1.716000e+003,8.122000e+003,1382,2.500648e-001,3.335362e+002,1.250444e+002,3.024532e+001,9.268629e-001,1.482398e+002,5.876990e+000,1.445306e+000,7.515091e-001
9,C,1.054785e+002,1.369000e+001,1.723000e+003,8.439000e+003,1444,2.500880e-001,3.411589e+002,1.233102e+002,3.023925e+001,9.022055e-001,1.472214e+002,5.844183e+000,1.456118e+000,7.510955e-001
