"Column","Row","Cell Nuclei / mm^2","Evaluated Area [mm^2]","Estimated Total Cell Count","Total Granule Count","Cell Nucleus","Contrast","Size [um^2]","Intensity","Roughness","Granularity","Granule Intensity","Granule Count","Longishness","Compactness"





1
10,E,3.155588e+001,1.369000e+001,5.250000e+002,2.017000e+003,432,2.665958e-001,2.610604e+002,1.316016e+002,4.699291e+001,9.425689e-001,1.627584e+002,4.668981e+000,1.375464e+000,7.717585e-001
10,F,1.059167e+001,1.369000e+001,2.130000e+002,5.840000e+002,145,3.111056e-001,2.229931e+002,1.410561e+002,6.594837e+001,9.505942e-001,1.791662e+002,4.027586e+000,1.699356e+000,7.076008e-001
10,G,6.574142e+000,1.369000e+001,1.310000e+002,3.230000e+002,90,3.057200e-001,2.127457e+002,1.390653e+002,6.400257e+001,8.950660e-001,1.787129e+002,3.588889e+000,1.519155e+000,7.436716e-001
11,B,3.907962e+001,1.369000e+001,8.110000e+002,1.640000e+003,535,1.952973e-001,2.122048e+002,1.127230e+002,2.856474e+001,7.623164e-001,1.332667e+002,3.065421e+000,1.480444e+000,7.275324e-001
11,C,3.411249e+001,1.369000e+001,7.300000e+002,1.470000e+003,467,2.025948e-001,2.123785e+002,1.136048e+002,2.926975e+001,7.772474e-001,1.338732e+002,3.147752e+000,1.501297e+000,7.333691e-001
11,D,3.520818e+001,1.369000e+001,6.940000e+002,2.223000e+003,482,2.890538e-001,2.421889e+002,1.369910e+002,5.372757e+001,1.008719e+000,1.713635e+002,4.612033e+000,1.373360e+000,7.682238e-001
11,E,3.696129e+001,1.369000e+001,6.210000e+002,2.127000e+003,506,2.799707e-001,2.448701e+002,1.344186e+002,5.361288e+001,9.004001e-001,1.691462e+002,4.203557e+000,1.371350e+000,7.701465e-001
11,F,8.984660e+000,1.369000e+001,1.810000e+002,4.340000e+002,123,3.152661e-001,2.021760e+002,1.421577e+002,7.416553e+001,9.308962e-001,1.825962e+002,3.528455e+000,1.677042e+000,7.062839e-001
11,G,1.037253e+001,1.369000e+001,2.280000e+002,5.290000e+002,142,3.284978e-001,2.092459e+002,1.438999e+002,7.447465e+001,9.348648e-001,1.851481e+002,3.725352e+000,1.694503e+000,7.085083e-001





3
Timespan (h):, 27.8592
2,B,2.191381e+001,1.369000e+001,6.690000e+002,9.020000e+002,300,1.773185e-001,2.191999e+002,1.167579e+002,2.701103e+001,7.281922e-001,1.369561e+002,3.006667e+000,1.541978e+000,6.991728e-001
2,C,2.885318e+001,1.369000e+001,7.700000e+002,1.215000e+003,395,1.656949e-001,2.232998e+002,1.181599e+002,2.445388e+001,7.299849e-001,1.368496e+002,3.075949e+000,1.491598e+000,7.280294e-001
2,D,8.188459e+001,1.369000e+001,1.213000e+003,5.027000e+003,1121,2.386231e-001,2.809683e+002,1.302876e+002,3.697501e+001,8.417888e-001,1.577226e+002,4.484389e+000,1.365202e+000,7.673811e-001
