"","Slice","Count","l2","Time","day","cID","nl2","Cell","conc","drug"
"218","WellR02-C06H2B_day1",6,2.58496250072116,-124.1042,-3,19,-2.90689059560852,"SC01",8,"plx"
"219","WellR02-C06H2B_day2",6,2.58496250072116,-100.3244,-2,19,-2.90689059560852,"SC01",8,"plx"
"220","WellR02-C06H2B_day3",26,4.70043971814109,-45.9536,-1,19,-0.791413378188583,"SC01",8,"plx"
"221","WellR02-C06H2B_day4",45,5.49185309632967,0,0,19,0,"SC01",8,"plx"
"222","WellR02-C06H2B_day5",34,5.08746284125034,17.6897,1,19,-0.404390255079336,"SC01",8,"plx"
"223","WellR02-C06H2B_day6",10,3.32192809488736,49.4008,2,19,-2.16992500144231,"SC01",8,"plx"
"224","WellR02-C06H2B_day7",5,2.32192809488736,67.66,3,19,-3.16992500144231,"SC01",8,"plx"
"225","WellR02-C06H2B_day8",2,1,98.6242,4,19,-4.49185309632967,"SC01",8,"plx"
"226","WellR02-C06H2B_day9",3,1.58496250072116,140.8703,5,19,-3.90689059560852,"SC01",8,"plx"
"227","WellR02-C06H2B_day10",1,0,168.3842,6,19,-5.49185309632967,"SC01",8,"plx"
"228","WellR02-C06H2B_day11",1,0,235.0925,7,19,-5.49185309632967,"SC01",8,"plx"
"229","WellR02-C06H2B_day0",3,1.58496250072116,-169.1575,-4,20,-4.4594316186373,"SC01",8,"plx"
"230","WellR02-C06H2B_day1",7,2.8073549220576,-124.1042,-3,20,-3.23703919730085,"SC01",8,"plx"
"231","WellR02-C06H2B_day2",20,4.32192809488736,-100.3244,-2,20,-1.72246602447109,"SC01",8,"plx"
"232","WellR02-C06H2B_day3",36,5.16992500144231,-45.9536,-1,20,-0.874469117916141,"SC01",8,"plx"
"233","WellR02-C06H2B_day4",66,6.04439411935845,0,0,20,0,"SC01",8,"plx"
"234","WellR02-C06H2B_day5",35,5.12928301694497,17.6897,1,20,-0.915111102413487,"SC01",8,"plx"
"235","WellR02-C06H2B_day6",10,3.32192809488736,49.4008,2,20,-2.72246602447109,"SC01",8,"plx"
"236","WellR02-C06H2B_day7",9,3.16992500144231,67.66,3,20,-2.87446911791614,"SC01",8,"plx"
"237","WellR02-C06H2B_day8",4,2,98.6242,4,20,-4.04439411935845,"SC01",8,"plx"
"238","WellR02-C06H2B_day9",1,0,140.8703,5,20,-6.04439411935845,"SC01",8,"plx"
"239","WellR02-C06H2B_day10",3,1.58496250072116,168.3842,6,20,-4.4594316186373,"SC01",8,"plx"
"240","WellR02-C06H2B_day11",1,0,235.0925,7,20,-6.04439411935845,"SC01",8,"plx"
"241","WellR02-C08H2B_day0",1,0,-169.1575,-4,21,-7.03342300153745,"SC01",8,"plx"
"242","WellR02-C08H2B_day1",5,2.32192809488736,-124.1042,-3,21,-4.71149490665009,"SC01",8,"plx"
"243","WellR02-C08H2B_day2",14,3.8073549220576,-100.3244,-2,21,-3.22606807947985,"SC01",8,"plx"
"244","WellR02-C08H2B_day3",46,5.52356195605701,-45.9536,-1,21,-1.50986104548044,"SC01",8,"plx"
"245","WellR02-C08H2B_day4",131,7.03342300153745,0,0,21,0,"SC01",8,"plx"
"246","WellR02-C08H2B_day5",117,6.8703647195834,17.6897,1,21,-0.163058281954045,"SC01",8,"plx"
"247","WellR02-C08H2B_day6",90,6.49185309632967,49.4008,2,21,-0.541569905207775,"SC01",8,"plx"
"248","WellR02-C08H2B_day7",84,6.39231742277876,67.66,3,21,-0.641105578758689,"SC01",8,"plx"
"249","WellR02-C08H2B_day8",51,5.6724253419715,98.6242,4,21,-1.36099765956595,"SC01",8,"plx"
"250","WellR02-C08H2B_day9",47,5.55458885167764,140.8703,5,21,-1.47883414985981,"SC01",8,"plx"
"251","WellR02-C08H2B_day10",25,4.64385618977472,168.3842,6,21,-2.38956681176273,"SC01",8,"plx"
"252","WellR02-C08H2B_day11",3,1.58496250072116,235.0925,7,21,-5.44846050081629,"SC01",8,"plx"
"253","WellR02-C08H2B_day0",2,1,-169.1575,-4,22,-3.75488750216347,"SC01",8,"plx"
